id,longitude,latitude,elevation,title,place_description,sig,mag,magType,time,updated,country_code,sig_class
nc75287651,-121.935997,37.75483322,6.480000019,"M 2.8 - 5 km SE of San Ramon, CA","5 km SE of San Ramon, CA",125,2.75,md,56:43.5,50:26.5,US,Moderate
ak2025zoeqap,-141.247,60.354,7.8,"M 2.1 - 123 km NW of Yakutat, Alaska","123 km NW of Yakutat, Alaska",68,2.1,ml,51:00.3,52:41.3,US,Low
ci41148335,-117.0983333,34.2665,7.27,"M 1.0 - 7 km N of Running Springs, CA","7 km N of Running Springs, CA",15,0.98,ml,40:27.9,44:02.3,US,Low
ci41148327,-117.0988333,34.26783333,7.17,"M 1.1 - 7 km N of Running Springs, CA","7 km N of Running Springs, CA",19,1.1,ml,35:53.4,10:38.0,US,Low
ak2025zodydf,-148.926,63.516,0.4,"M 2.3 - 13 km N of Cantwell, Alaska","13 km N of Cantwell, Alaska",82,2.3,ml,30:10.4,39:15.0,US,Low
pr71503308,-67.38283333,18.76866667,11.45,"M 3.0 - 42 km NW of San Antonio, Puerto Rico","42 km NW of San Antonio, Puerto Rico",140,3.02,md,30:05.4,24:58.4,PR,Moderate
pr2025362001,-67.3756,18.7675,8,"M 3.5 - 42 km NW of San Antonio, Puerto Rico","42 km NW of San Antonio, Puerto Rico",184,3.46,md,23:58.5,00:55.3,PR,Moderate
ci41148319,-116.7301667,33.5265,6.38,"M 0.4 - 6 km WSW of Anza, CA","6 km WSW of Anza, CA",3,0.41,ml,20:50.7,24:26.1,US,Low
tx2025zodmuk,-102.091,32.356,8.667,"M 1.5 - 38 km NW of Stanton, Texas","38 km NW of Stanton, Texas",35,1.5,ml,17:05.6,36:08.5,US,Low
ci41148311,-116.653,33.40683333,4.22,"M 1.8 - 14 km N of Warner Springs, CA","14 km N of Warner Springs, CA",52,1.84,ml,13:21.2,11:42.5,US,Low
nc75287641,-122.7848358,38.79600143,4.099999905,"M 0.8 - 3 km NW of The Geysers, CA","3 km NW of The Geysers, CA",9,0.77,md,13:18.0,52:22.7,US,Low
nc75287636,-122.7968369,38.83633423,1.779999971,"M 1.3 - 7 km WNW of Cobb, CA","7 km WNW of Cobb, CA",26,1.29,md,12:01.6,22:20.3,US,Low
nc75287631,-122.7521667,38.79366684,0.239999995,"M 1.4 - 2 km NNE of The Geysers, CA","2 km NNE of The Geysers, CA",31,1.42,md,06:19.4,57:23.1,US,Low
nc75287626,-118.6808319,37.94850159,16.23999977,"M 3.3 - 39 km E of Lee Vining, CA","39 km E of Lee Vining, CA",169,3.31,ml,02:07.6,21:26.8,US,Moderate
ak2025zocsyj,-152.799,59.892,97.4,"M 2.4 - 55 km WNW of Anchor Point, Alaska","55 km WNW of Anchor Point, Alaska",89,2.4,ml,54:57.1,12:42.0,US,Low
ci41148287,-117.594,35.64,8.25,"M 1.1 - 8 km ENE of Ridgecrest, CA","8 km ENE of Ridgecrest, CA",19,1.11,ml,54:02.0,57:41.4,US,Low
ci41148279,-117.4116667,35.68166667,7.37,"M 1.1 - 10 km S of Searles Valley, CA","10 km S of Searles Valley, CA",19,1.11,ml,53:40.4,11:39.4,US,Low
us7000rl85,-139.809,60.4944,10,"M 4.3 - 105 km N of Yakutat, Alaska","105 km N of Yakutat, Alaska",284,4.3,mwr,50:49.3,11:30.8,CA,Moderate
ci41148271,-116.4653333,33.47916667,8.66,"M 1.3 - 21 km ESE of Anza, CA","21 km ESE of Anza, CA",25,1.27,ml,50:02.5,11:35.7,US,Low
hv74862822,-155.1374969,19.34233284,3.180000067,"M 1.8 - 13 km S of Fern Forest, Hawaii","13 km S of Fern Forest, Hawaii",52,1.83,md,43:07.5,47:26.2,US,Low
ci41148263,-117.4123333,35.68266667,7.2,"M 0.8 - 9 km S of Searles Valley, CA","9 km S of Searles Valley, CA",9,0.78,ml,27:02.3,11:29.1,US,Low
nc75287606,-122.831665,38.81283188,7.920000076,"M 0.2 - 8 km WNW of The Geysers, CA","8 km WNW of The Geysers, CA",1,0.24,md,24:31.5,52:22.3,US,Low
nc75287596,-122.7248306,38.7784996,0.980000019,"M 0.8 - 3 km E of The Geysers, CA","3 km E of The Geysers, CA",10,0.79,md,15:58.9,27:18.5,US,Low
nc75287591,-120.4169998,36.40850067,12.14999962,"M 2.1 - 14 km SW of Cantua Creek, CA","14 km SW of Cantua Creek, CA",70,2.13,md,05:34.6,07:18.4,US,Low
us7000rl80,-173.9835,-16.9868,146.745,"M 4.6 - 115 km S of Hihifo, Tonga","115 km S of Hihifo, Tonga",326,4.6,mb,03:50.4,26:17.0,TO,Moderate
hv74862797,-155.4696655,19.09066582,26.03000069,"M 2.0 - 11 km ENE of Naalehu, Hawaii","11 km ENE of Naalehu, Hawaii",60,1.97,ml,03:09.5,06:51.9,US,Low
ak2025zoazex,-151.37,63.177,1.7,"M 1.8 - 44 km SSE of Denali National Park, Alaska","44 km SSE of Denali National Park, Alaska",50,1.8,ml,00:55.9,02:56.0,US,Low
ak2025zoaxwt,-140.905,60.192,5.3,"M 1.8 - 97 km NW of Yakutat, Alaska","97 km NW of Yakutat, Alaska",50,1.8,ml,59:26.1,02:17.0,CA,Low
se60504748,-82.714,33.34816667,1.46,"M 2.1 - 7 km SSW of West Warrenton, Georgia","7 km SSW of West Warrenton, Georgia",65,2.06,md,52:08.3,28:53.7,US,Low
ak2025zoarif,-153.76,58.783,13.8,"M 2.0 - 93 km SE of Kokhanok, Alaska","93 km SE of Kokhanok, Alaska",62,2,ml,51:51.1,54:41.9,US,Low
se60616506,-84.45983333,37.66116667,13.71,"M 3.1 - 11 km ENE of Lancaster, Kentucky","11 km ENE of Lancaster, Kentucky",292,3.12,md,47:10.0,19:55.6,US,Moderate
nc75287571,-122.7668304,38.79016495,1.370000005,"M 1.5 - 2 km NNW of The Geysers, CA","2 km NNW of The Geysers, CA",34,1.48,md,28:10.9,47:23.3,US,Low
ci41148231,-117.8091667,35.30983333,7.08,"M 1.2 - 17 km WSW of Johannesburg, CA","17 km WSW of Johannesburg, CA",23,1.23,ml,28:08.4,11:30.4,US,Low
tx2025znzqsv,-104.437,31.658,4.613,"M 1.5 - 57 km S of Whites City, New Mexico","57 km S of Whites City, New Mexico",35,1.5,ml,21:04.3,18:58.7,US,Low
nm60504743,-89.67083333,36.15866667,10.11,"M 2.3 - 4 km SSW of Caruthersville, Missouri","4 km SSW of Caruthersville, Missouri",86,2.29,md,19:08.0,09:29.7,US,Low
ci41148215,-117.8046667,35.3565,8.11,"M 1.1 - 16 km W of Johannesburg, CA","16 km W of Johannesburg, CA",17,1.06,ml,06:28.9,11:46.6,US,Low
us7000rl7i,-139.3387,60.2382,5,"M 2.8 - 80 km NNE of Yakutat, Alaska","80 km NNE of Yakutat, Alaska",121,2.8,ml,56:02.0,36:22.0,CA,Moderate
nc75287566,-122.7570038,38.79299927,0.699999988,"M 1.1 - 2 km N of The Geysers, CA","2 km N of The Geysers, CA",18,1.08,md,50:23.5,17:24.7,US,Low
nc75287561,-122.7191696,38.79299927,1.840000033,"M 1.3 - 3 km NW of Anderson Springs, CA","3 km NW of Anderson Springs, CA",24,1.26,md,40:31.6,22:19.1,US,Low
nc75287551,-122.788002,38.83433151,4.079999924,"M 0.6 - 6 km WNW of Cobb, CA","6 km WNW of Cobb, CA",5,0.59,md,18:35.6,42:19.4,US,Low
nc75287546,-122.793335,38.83383179,2.160000086,"M 1.1 - 6 km WNW of Cobb, CA","6 km WNW of Cobb, CA",17,1.05,md,14:21.9,32:21.8,US,Low
ci41148183,-117.0993333,34.00266667,11.2,"M 1.2 - 5 km WNW of Calimesa, CA","5 km WNW of Calimesa, CA",23,1.22,ml,59:19.8,12:52.7,US,Low
nc75287541,-122.8440018,38.82233429,1.99000001,"M 0.4 - 9 km WNW of The Geysers, CA","9 km WNW of The Geysers, CA",2,0.37,md,50:29.1,07:18.2,US,Low
ci41148175,-117.0941667,34.27083333,6.97,"M 2.6 - 7 km N of Running Springs, CA","7 km N of Running Springs, CA",106,2.58,ml,44:30.5,11:28.2,US,Moderate
nc75287531,-122.7611694,38.79150009,1.450000048,"M 0.9 - 2 km NNW of The Geysers, CA","2 km NNW of The Geysers, CA",13,0.93,md,19:43.5,52:21.5,US,Low
nc75287526,-121.9331665,37.77000046,7.420000076,"M 2.4 - 4 km ESE of San Ramon, CA","4 km ESE of San Ramon, CA",94,2.39,md,16:40.3,36:35.5,US,Low
pr71503278,-66.9695,17.9765,11.75,"M 1.8 - 5 km WSW of Fuig, Puerto Rico","5 km WSW of Fuig, Puerto Rico",52,1.84,md,04:30.0,31:26.4,PR,Low
nn00908973,-116.3029,37.9222,5.9657,"M 2.2 - 58 km WNW of Rachel, Nevada","58 km WNW of Rachel, Nevada",72,2.16,ml,47:40.0,50:44.2,US,Low
ak2025znuoke,-150.028,63.202,92.3,"M 2.2 - 58 km WSW of Cantwell, Alaska","58 km WSW of Cantwell, Alaska",74,2.2,ml,47:23.7,49:01.0,US,Low
ak2025znujqp,-154.945,58.242,14.3,"M 1.3 - 80 km NNW of Karluk, Alaska","80 km NNW of Karluk, Alaska",26,1.3,ml,41:51.3,44:38.0,US,Low
nc75287521,-122.8148346,38.83433151,1.769999981,"M 0.7 - 8 km W of Cobb, CA","8 km W of Cobb, CA",7,0.69,md,40:57.4,07:21.8,US,Low
ak2025zntzfw,-155.432,56.134,5,"M 3.0 - 119 km SW of Akhiok, Alaska","119 km SW of Akhiok, Alaska",138,3,ml,29:54.7,32:56.9,US,Moderate
nc75287511,-121.5400009,36.80333328,5.710000038,"M 1.7 - 5 km S of San Juan Bautista, CA","5 km S of San Juan Bautista, CA",45,1.71,md,26:11.6,12:21.2,US,Low
ci41148151,-116.603,32.10183333,5.57,"M 1.5 - 24 km NNE of El Sauzal, B.C., MX","24 km NNE of El Sauzal, B.C., MX",35,1.5,ml,25:22.6,29:09.2,MX,Low
nn00908971,-117.2808,37.2557,7.4446,"M 2.4 - 50 km S of Goldfield, Nevada","50 km S of Goldfield, Nevada",86,2.36,ml,24:57.1,28:10.0,US,Low
ci41148143,-116.6411667,32.80083333,17.48,"M 1.0 - 11 km WSW of Pine Valley, CA","11 km WSW of Pine Valley, CA",14,0.95,ml,19:39.8,12:03.5,US,Low
us7000rl6y,156.0604,49.2989,54.639,"M 4.6 - 153 km S of Severo-Kuril’sk, Russia","153 km S of Severo-Kuril’sk, Russia",326,4.6,mb,40:01.0,06:29.0,RU,Moderate
nc75287501,-122.4355011,38.7879982,8.659999847,"M 1.9 - 11 km ESE of Hidden Valley Lake, CA","11 km ESE of Hidden Valley Lake, CA",54,1.88,md,21:06.2,22:18.9,US,Low
nc75287496,-121.9333344,37.76766586,7.320000172,"M 2.6 - 4 km ESE of San Ramon, CA","4 km ESE of San Ramon, CA",134,2.59,md,18:59.0,57:25.4,US,Moderate
us7000rl6w,-77.2455,-13.4851,10,"M 4.6 - 103 km WSW of San Vicente de Cañete, Peru","103 km WSW of San Vicente de Cañete, Peru",326,4.6,mb,09:38.7,40:15.0,PE,Moderate
tx2025znqokl,-99.118,28.815,8.793,"M 1.9 - 8 km SSW of Pearsall, Texas","8 km SSW of Pearsall, Texas",56,1.9,ml,46:40.4,16:12.7,US,Low
ci41148135,-116.4235,33.479,12.88,"M 0.4 - 23 km SSW of La Quinta, CA","23 km SSW of La Quinta, CA",2,0.37,ml,26:08.5,12:18.5,US,Low
tx2025znposz,-104.229,31.601,6.0999,"M 1.5 - 52 km NW of Toyah, Texas","52 km NW of Toyah, Texas",35,1.5,ml,17:06.7,39:07.5,US,Low
hv74862512,-155.5573273,19.42883301,52.47000122,"M 1.9 - 26 km NNW of P?hala, Hawaii","26 km NNW of P?hala, Hawaii",56,1.91,md,08:33.5,11:59.2,US,Low
ak2025znooef,-153.741,58.795,15.4,"M 2.1 - 93 km SE of Kokhanok, Alaska","93 km SE of Kokhanok, Alaska",68,2.1,ml,46:07.2,50:03.1,US,Low
ak2025znolav,-151.711,59.381,31.1,"M 3.0 - 6 km S of Seldovia, Alaska","6 km S of Seldovia, Alaska",138,3,ml,42:28.0,59:13.0,US,Moderate
us7000rl6q,-140.1072,60.5754,5,"M 2.5 - 116 km N of Yakutat, Alaska","116 km N of Yakutat, Alaska",96,2.5,ml,40:28.5,43:23.0,CA,Low
ci41148127,-116.4193333,33.18083333,12.75,"M 0.5 - 9 km SSW of Borrego Springs, CA","9 km SSW of Borrego Springs, CA",3,0.47,ml,39:06.2,12:19.5,US,Low
ak2025znobnd,-154.989,58.267,5,"M 1.1 - 83 km NNW of Karluk, Alaska","83 km NNW of Karluk, Alaska",19,1.1,ml,31:23.5,32:44.0,US,Low
nc75287486,-122.7675018,38.84816742,-0.899999976,"M 0.2 - 5 km NW of Cobb, CA","5 km NW of Cobb, CA",1,0.22,md,30:38.4,12:20.1,US,Low
nc75287481,-122.8160019,38.8136673,6.03000021,"M 0.7 - 7 km NW of The Geysers, CA","7 km NW of The Geysers, CA",7,0.68,md,28:03.3,47:20.8,US,Low
ci41148119,-117.0856667,34.0435,6.57,"M 1.4 - 4 km WNW of Yucaipa, CA","4 km WNW of Yucaipa, CA",30,1.4,ml,16:14.0,12:55.5,US,Low
ci41148111,-118.7031667,35.38033333,5.05,"M 0.7 - 22 km NNE of Arvin, CA","22 km NNE of Arvin, CA",8,0.72,ml,13:49.2,12:35.6,US,Low
uw62212042,-122.1885,46.20116667,-0.8,"M -0.3 - 38 km NNE of Amboy, Washington","38 km NNE of Amboy, Washington",0,-0.33,mh,02:13.7,09:53.9,US,Low
ak2025znmwrk,-149.758,61.507,35.6,"M 1.9 - 5 km NNW of Knik, Alaska","5 km NNW of Knik, Alaska",56,1.9,ml,55:36.4,57:10.8,US,Low
hv74862457,-155.1376648,19.33600044,4.710000038,"M 2.1 - 14 km S of Fern Forest, Hawaii","14 km S of Fern Forest, Hawaii",65,2.06,ml,49:01.8,52:49.9,US,Low
us7000rl6l,155.5501,49.5077,73.183,"M 4.6 - 136 km SSW of Severo-Kuril’sk, Russia","136 km SSW of Severo-Kuril’sk, Russia",326,4.6,mb,46:27.9,23:09.0,RU,Moderate
ak2025znmoph,-152.169,60.068,90.8,"M 2.7 - 27 km WNW of Happy Valley, Alaska","27 km WNW of Happy Valley, Alaska",112,2.7,ml,46:14.9,15:44.3,US,Moderate
tx2025znmkrq,-102.263,32.286,8.4229,"M 1.1 - 25 km E of McKinney Acres, Texas","25 km E of McKinney Acres, Texas",19,1.1,ml,41:42.3,22:44.4,US,Low
nc75287476,-122.7483368,38.79216766,2.440000057,"M 0.8 - 2 km NNE of The Geysers, CA","2 km NNE of The Geysers, CA",9,0.75,md,32:37.2,17:22.2,US,Low
nc75287471,-122.7583313,38.77933502,0.829999983,"M 1.1 - 0 km NW of The Geysers, CA","0 km NW of The Geysers, CA",19,1.12,md,25:48.3,22:21.6,US,Low
ak2025znltxt,-150.321,61.805,0.8,"M 2.1 - 16 km WNW of Willow, Alaska","16 km WNW of Willow, Alaska",68,2.1,ml,22:13.9,24:08.9,US,Low
nc75287466,-122.7271652,38.77883148,1.690000057,"M 1.2 - 3 km E of The Geysers, CA","3 km E of The Geysers, CA",20,1.15,md,19:02.5,57:19.5,US,Low
ci41148103,-117.7773333,36.02383333,1.83,"M 1.0 - 15 km NE of Little Lake, CA","15 km NE of Little Lake, CA",17,1.04,ml,16:17.4,12:36.5,US,Low
nc75287461,-119.0806667,37.43666667,16.41,"M 0.8 - 24 km SSW of Mammoth Lakes, CA","24 km SSW of Mammoth Lakes, CA",11,0.84,md,08:30.3,57:21.3,US,Low
uu80126346,-112.9435,41.48983333,10.18,"M 2.2 - 53 km SW of Howell, Utah","53 km SW of Howell, Utah",71,2.15,ml,04:22.3,52:45.4,US,Low
ci41148095,-116.3998333,33.54316667,4.23,"M 0.9 - 16 km SSW of La Quinta, CA","16 km SSW of La Quinta, CA",11,0.85,ml,59:43.7,12:51.5,US,Low
us7000rl69,-88.5865,13.6093,186.094,"M 4.4 - 13 km NNW of Berlín, El Salvador","13 km NNW of Berlín, El Salvador",298,4.4,mb,55:25.2,22:57.0,SV,Moderate
us7000rl6a,72.1437,37.8123,129.733,"M 4.3 - 63 km NE of Khorugh, Tajikistan","63 km NE of Khorugh, Tajikistan",284,4.3,mb,54:55.9,32:16.0,TJ,Moderate
ak2025znktyz,-153.554,59.603,121.9,"M 2.6 - 37 km ESE of Pedro Bay, Alaska","37 km ESE of Pedro Bay, Alaska",104,2.6,ml,52:22.4,14:56.0,US,Moderate
nc75287456,-122.8148346,38.82866669,2.119999886,"M 0.9 - 8 km NW of The Geysers, CA","8 km NW of The Geysers, CA",13,0.92,md,46:08.9,12:22.7,US,Low
tx2025zniyen,-104.461,31.671,5.741,"M 2.0 - 56 km S of Whites City, New Mexico","56 km S of Whites City, New Mexico",62,2,ml,56:39.4,54:07.1,US,Low
hv74862377,-155.4738312,19.15816689,31.12999916,"M 2.1 - 4 km S of P?hala, Hawaii","4 km S of P?hala, Hawaii",69,2.12,md,49:40.0,57:08.2,US,Low
us7000rl63,-178.4757,-20.2763,611.182,M 4.5 - Fiji region,Fiji region,312,4.5,mb,44:55.8,18:57.0,TO,Moderate
hv74862362,-155.5011597,19.19283295,29.65999985,"M 2.4 - 2 km WSW of P?hala, Hawaii","2 km WSW of P?hala, Hawaii",91,2.43,ml,41:19.7,31:46.0,US,Low
tx2025znihre,-101.648,31.689,7.2998,"M 0.7 - 25 km SW of Garden City, Texas","25 km SW of Garden City, Texas",8,0.7,ml,37:31.5,25:30.7,US,Low
us7000rl5z,-177.8029,-20.4322,540.127,"M 4.5 - 272 km WNW of Houma, Tonga","272 km WNW of Houma, Tonga",312,4.5,mb,16:33.7,31:59.0,TO,Moderate
nc75287441,-122.8199997,38.83433151,1.889999986,"M 0.2 - 8 km NW of The Geysers, CA","8 km NW of The Geysers, CA",1,0.22,md,15:49.2,42:20.1,US,Low
us7000rl5y,-178.6674,-20.2604,615.27,M 4.8 - Fiji region,Fiji region,354,4.8,mb,06:21.5,21:14.0,TO,Moderate
ci41148087,-116.6405,32.80116667,17.18,"M 1.1 - 11 km WSW of Pine Valley, CA","11 km WSW of Pine Valley, CA",17,1.05,ml,04:48.9,14:10.3,US,Low
ak2025zngxbp,-176.28,51.47,16.8,"M 3.4 - 51 km SSE of Adak, Alaska","51 km SSE of Adak, Alaska",178,3.4,ml,55:02.4,55:04.4,US,Moderate
hv74862307,-155.1629944,18.80866623,7.440000057,"M 1.7 - 52 km ESE of Naalehu, Hawaii","52 km ESE of Naalehu, Hawaii",45,1.71,md,33:16.7,36:42.0,US,Low
ci41148079,-116.6365,32.80266667,17.34,"M 0.8 - 10 km WSW of Pine Valley, CA","10 km WSW of Pine Valley, CA",11,0.83,ml,20:55.5,12:51.2,US,Low
tx2025znfmww,-104.49,31.669,5.8948,"M 1.9 - 57 km S of Whites City, New Mexico","57 km S of Whites City, New Mexico",56,1.9,ml,13:04.0,01:57.2,US,Low
ci41148071,-117.8618333,36.09833333,3.11,"M 1.0 - 10 km NE of Coso Junction, CA","10 km NE of Coso Junction, CA",15,0.98,ml,49:37.1,13:07.5,US,Low
ci41148063,-116.545,33.0215,12.96,"M 0.8 - 8 km SE of Julian, CA","8 km SE of Julian, CA",9,0.75,ml,45:23.2,13:26.3,US,Low
nc75287431,-122.8164978,38.83066559,1.820000052,"M 1.3 - 8 km NW of The Geysers, CA","8 km NW of The Geysers, CA",27,1.32,md,45:20.4,37:21.5,US,Low
ci41148055,-116.4158333,32.93833333,4.73,"M 0.8 - 17 km NE of Pine Valley, CA","17 km NE of Pine Valley, CA",10,0.82,ml,44:26.5,13:24.3,US,Low
ci41148047,-117.4633333,34.1615,6.99,"M 0.9 - 7 km N of Fontana, CA","7 km N of Fontana, CA",14,0.94,ml,38:35.7,42:12.2,US,Low
hv74862262,-155.4003296,19.27000046,29.73999977,"M 1.8 - 11 km NE of P?hala, Hawaii","11 km NE of P?hala, Hawaii",52,1.84,md,34:27.3,38:20.8,US,Low
hv74862257,-155.4416656,19.10149956,27.55999947,"M 1.7 - 11 km SSE of P?hala, Hawaii","11 km SSE of P?hala, Hawaii",46,1.73,md,28:05.2,32:05.1,US,Low
ci41148039,-116.642,32.80216667,16.77,"M 1.2 - 11 km WSW of Pine Valley, CA","11 km WSW of Pine Valley, CA",22,1.19,ml,07:13.8,14:05.8,US,Low
nc75287411,-122.7701645,38.79850006,3.140000105,"M 1.1 - 3 km NNW of The Geysers, CA","3 km NNW of The Geysers, CA",17,1.06,md,06:21.8,07:56.1,US,Low
nc75287406,-122.7868347,38.83566666,1.960000038,"M 0.7 - 6 km WNW of Cobb, CA","6 km WNW of Cobb, CA",6,0.65,md,03:55.9,05:31.1,US,Low
nc75287401,-122.8036652,38.84266663,3.940000057,"M 1.1 - 7 km WNW of Cobb, CA","7 km WNW of Cobb, CA",17,1.05,md,56:30.5,37:20.2,US,Low
hv74862237,-155.4701691,19.16916656,46.63999939,"M 1.8 - 3 km SSE of P?hala, Hawaii","3 km SSE of P?hala, Hawaii",47,1.75,md,55:51.6,59:18.1,US,Low
nc75287391,-120.081337,36.16383362,5.960000038,"M 1.4 - 5 km SSE of Huron, CA","5 km SSE of Huron, CA",31,1.43,md,46:35.5,32:17.6,US,Low
